Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
3,19900701,20110401,202,50.7827,6.0941,Aachen,Nordrhein-Westfalen
5,19900705,19950626,190,50.8167,6.1833,Aachen-Merzbrück,Nordrhein-Westfalen
11,20090101,20260112,680,47.9736,8.5205,Donaueschingen (Landeplatz),Baden-Württemberg
44,19900706,19951214,44,52.9336,8.237,Großenkneten,Niedersachsen
90,20071031,20260112,305,50.7557,9.2583,Alsfeld,Hessen
96,20190409,20260112,50,52.9437,12.8518,Neuruppin-Alt Ruppin,Brandenburg
102,19900701,20260112,0,53.8633,8.1275,Leuchtturm Alte Weser,Niedersachsen
125,19930308,20260112,739,47.8342,10.8667,Altenstadt,Bayern
161,20110901,20260112,75,50.4237,7.4202,Andernach,Rheinland-Pfalz
164,19900602,20260112,54,53.0316,13.9908,Angermünde,Brandenburg
183,19900602,20260112,42,54.6791,13.4344,Arkona,Mecklenburg-Vorpommern
197,20080801,20260112,365,51.3219,9.0558,Arolsen-Volkhardinghausen,Hessen
198,19900602,20260112,164,51.3744,11.292,Artern,Thüringen
222,19900622,20080701,393,50.5908,12.7139,Aue,Sachsen
232,19900701,20260112,462,48.4253,10.9417,Augsburg,Bayern
282,19900701,20260112,240,49.8743,10.9206,Bamberg,Bayern
298,19900622,20260112,3,54.3405,12.7108,Barth,Mecklenburg-Vorpommern
303,19930910,20260112,55,52.0613,13.4997,Baruth,Brandenburg
305,19911104,19941027,53,53.7333,12.9333,Basepohl,Mecklenburg-Vorpommern
342,20101201,20260112,103,52.317,8.1694,Belm,Niedersachsen
348,19900701,20110902,127,50.4135,7.5886,Bendorf,Rheinland-Pfalz
368,19930301,20260109,69,52.8152,9.9248,Bergen,Niedersachsen
399,19900621,20150628,36,52.5198,13.4057,Berlin-Alexanderplatz,Berlin
403,19900701,20260112,51,52.4537,13.3017,Berlin-Dahlem (FU),Berlin
427,19900602,20260112,46,52.3807,13.5306,Berlin Brandenburg,Brandenburg
430,19760101,20210505,36,52.5644,13.3088,Berlin-Tegel,Berlin
433,19760331,20260112,48,52.4676,13.402,Berlin-Tempelhof,Berlin
460,19900701,20260112,362,49.2641,6.6868,Berus,Saarland
554,19900701,20060301,23,51.8293,6.5365,Bocholt-Liedern (Wasserwerk),Nordrhein-Westfalen
591,19900604,20260112,45,53.3911,10.6878,Boizenburg,Mecklenburg-Vorpommern
596,19900602,20260112,15,54.0027,11.1908,Boltenhagen,Mecklenburg-Vorpommern
599,19900701,19990301,62,50.7055,7.1467,Bonn-Friesdorf,Nordrhein-Westfalen
603,19990303,20260112,147,50.7293,7.204,Königswinter-Heiderhof,Nordrhein-Westfalen
619,20060720,20260112,12,53.5788,6.6703,Borkum-Süderstraße,Niedersachsen
642,20080402,20260112,4,53.3518,8.4969,Brake,Niedersachsen
649,19911106,19940623,31,52.4333,12.45,Brandenburg-Briest,Brandenburg
656,19900701,20260112,607,51.7234,10.6021,Braunlage,Niedersachsen
